UniqueID,Salutation,FirstName,LastName,AddressZipCity,Address,Telephone,Email,GeoLat,GeoLon,Birthday,Price,Stuckzahl,SalesTax,PurchaseType,TaxAmount,TotalPrice,TotalAmount
e3e70682-c209-4cac-a29f-6fbed82c07cd,Frau,Bettina,Jung,70265 Stuttgart,Benthinring 6/4,05938 242194,bettinae3e70682@gmx.fr,48.7945119997968,9.1772219749878,2006-05-28,457,14,0.19,Slipper,86.83,543.83,7613.620000000001
cf6a659e-b486-4b21-bb97-d43588561712,Herr,Oskar,Wagner,29818 Celle,Lothar-Dippel-Allee 578,+49(0)5659 387784,oskarcf6a659e@gmx.net,52.601950533786365,9.816149697345148,1948-02-19,436,44,0.07,Tanktop,30.520000000000003,466.52,20526.879999999997
03983ca8-ea7e-4d49-8c77-8ea6eb2083e6,Herr,Fabian,Roth,38625 Braunschweig,Irmgard-Kuhl-Allee 975,+49(0) 513933287,froth8815@onlinedeutsch.de,52.28351239711087,10.517219692415678,1949-12-15,413,36,0.19,Mantel,78.47,491.47,17692.920000000002
820865d6-e005-4860-91ef-1922fe43c49e,Frau,Vanessa,Böttcher,44640 Herne,Dörrring 1,05839 89471,böttcher.vanessa9086@gmx.de,51.546111143054134,7.2090457018466205,1981-10-10,33,13,0.19,Stirnband,6.2700000000000005,39.27,510.51000000000005
3dfabc08-935d-4d72-9129-fb7c6288e1a5,Herr,Timothy,Weiss,07093 Jena,Gorlitzplatz 09,(04711) 22018,tweiss9322@aol.de,50.911562313837244,11.591950689843623,1987-04-09,362,8,0.07,Ballerinas,25.340000000000003,387.34000000000003,3098.7200000000003
468ff53d-864a-4a50-b48d-73f1d67e55fd,Herr,Timothy,Lang,45601 Recklinghausen,Miriam-Hande-Allee 9/4,07515 917953,timothyl468ff53d@scholar.de,51.62621740077284,7.190481873910323,1959-07-10,124,19,0.19,Weste,23.56,147.56,2803.64
b490b608-1dfc-4352-8562-be7fbb42e0b2,Herr,Paul,Ziegler,74266 Heilbronn,Peer-Geißler-Ring 0/1,+49 (0) 3098 910139,ziegler.paul2131@gmx.us,49.15777081483291,9.227835240637852,1996-07-03,432,6,0.07,Abendkleid,30.240000000000002,462.24,2773.44
5ec17dbe-176e-41b1-a426-4cd51ea45cd6,Frau,Alina,Schulze,55869 Mainz,Arnd-auch Schlauchin-Gasse 21,03008 691413,aschulze5509@mailbox.org,49.99260621545918,8.252947872983293,1948-09-29,359,23,0.19,Krawatte,68.21,427.21,9825.83
2e295065-6fa2-41e9-99ac-dd984d125e7f,Herr,Johann,Vogel,36343 Fulda,Almuth-Mosemann-Gasse 634,07923022584,johann2e295065@googlemail.com,50.53808537172834,9.664318421474713,1951-08-06,407,11,0.07,Desert Boots,28.490000000000002,435.49,4790.39
2cc0f859-aa65-44ab-b13b-7e05ebe21368,Herr,Finn,Böttcher,53875 Bonn,Wieland-Stiffel-Straße 5,0428071508,finnb2cc0f859@eclipso.de,50.74276825654209,7.115660788647592,1961-11-27,309,44,0.19,Jacke,58.71,367.71,16179.24
